CR;CRPercent;loss;accuracy;size;parameters;channels_conv1;channels_conv2;channels_dense1;channels_dense2;channels_dense3
0;0;0.3266866207122803;0.8937000036239624;446468;110742;12;32;120;84;10
2;0.5;0.3429083526134491;0.8878999948501587;446508;110742;12;32;120;84;10
3;0.66;0.3318140208721161;0.8848000168800354;446508;110742;12;32;120;84;10
4;0.75;0.3451225459575653;0.8779000043869019;446508;110742;12;32;120;84;10
8;0.875;0.4504634141921997;0.8421000242233276;446508;110742;12;32;120;84;10
16;0.9375;0.6300343871116638;0.7609999775886536;446508;110742;12;32;120;84;10
24;0.9583333333333334;0.7002102732658386;0.7430999875068665;446508;110742;12;32;120;84;10
32;0.96875;0.8336520791053772;0.7156000137329102;446508;110742;12;32;120;84;10
48.0;0.9791666666666666;1.0612801313400269;0.6811000108718872;446508;110742;12;32;120;84;10
64.0;0.984375;1.6582385301589966;0.42899999022483826;446508;110742;12;32;120;84;10